0.223 0.217 0.448 0.493 -1.0
0.474 0.475 0.034 0.954 1.0
0.154 0.261 0.190 0.361 -1.0
0.167 0.084 0.590 0.961 -1.0
0.778 0.497 0.792 0.945 1.0
0.505 0.828 0.897 0.737 1.0
0.842 0.960 0.461 0.289 1.0
0.031 0.763 0.927 0.064 -1.0
0.886 0.218 0.978 0.076 1.0
0.601 0.243 0.663 0.190 -1.0
0.872 0.969 0.701 0.665 1.0
0.140 0.169 0.742 0.038 -1.0
0.986 0.879 0.866 0.447 1.0
0.318 0.478 0.931 0.246 -1.0
0.648 0.132 0.760 0.626 1.0
0.339 0.227 0.450 0.002 -1.0
0.654 0.874 0.386 0.355 1.0
0.299 0.495 0.708 0.041 -1.0
0.614 0.027 0.412 0.480 -1.0
0.581 0.798 0.951 0.512 1.0
0.493 0.160 0.176 0.253 -1.0
0.384 0.592 0.013 0.834 -1.0
0.430 0.488 0.468 0.815 1.0
0.007 0.114 0.337 0.715 -1.0
0.870 0.329 0.182 0.282 -1.0
0.655 0.863 0.608 0.607 1.0
0.652 0.100 0.535 0.828 1.0
0.321 0.212 0.946 0.334 -1.0
0.540 0.764 0.533 0.008 -1.0
0.376 0.016 0.693 0.713 -1.0
0.849 0.583 0.060 0.030 -1.0
0.869 0.686 0.729 0.477 1.0
0.103 0.129 0.392 0.638 1.0
0.746 0.959 0.169 0.692 1.0
0.215 0.232 0.056 0.748 -1.0
0.635 0.124 0.256 0.329 -1.0
0.986 0.177 0.420 0.046 -1.0
0.286 0.915 0.893 0.014 1.0
0.185 0.118 0.521 0.578 -1.0
0.478 0.324 0.715 0.647 1.0
0.008 0.862 0.247 0.065 -1.0
0.487 0.700 0.734 0.743 1.0
0.571 0.730 0.206 0.992 1.0
0.414 0.277 0.692 0.307 -1.0
0.084 0.492 0.410 0.605 -1.0
0.166 0.083 0.394 0.881 -1.0
0.409 0.889 0.592 0.656 -1.0
0.203 0.144 0.654 0.937 -1.0
0.683 0.508 0.617 0.889 1.0
0.393 0.303 0.777 0.084 -1.0
0.069 0.168 0.103 0.479 -1.0
0.173 0.645 0.857 0.566 1.0
0.587 0.976 0.415 0.180 1.0
0.369 0.382 0.776 0.023 -1.0
0.663 0.706 0.827 0.280 1.0
0.327 0.673 0.899 0.104 1.0
0.509 0.172 0.925 0.611 1.0
0.699 0.784 0.296 0.555 1.0
0.821 0.143 0.326 0.237 -1.0
0.958 0.606 0.704 0.734 1.0
